//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
getVariableCount:1629038201745,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201780,14,HSQLDB Connection @5945d365
getVariableCount:1629038201845,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201880,14,HSQLDB Connection @5945d365
getVariableCount:1629038201945,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038201981,14,HSQLDB Connection @5945d365
getVariableCount:1629038202045,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202081,14,HSQLDB Connection @5945d365
getVariableCount:1629038202146,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202181,14,HSQLDB Connection @5945d365
getVariableCount:1629038202246,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202281,14,HSQLDB Connection @5945d365
getVariableCount:1629038202346,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202382,14,HSQLDB Connection @5945d365
getVariableCount:1629038202447,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202482,14,HSQLDB Connection @5945d365
getVariableCount:1629038202547,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202582,14,HSQLDB Connection @5945d365
getVariableCount:1629038202647,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202683,14,HSQLDB Connection @5945d365
getVariableCount:1629038202748,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202783,14,HSQLDB Connection @5945d365
getVariableCount:1629038202848,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202883,14,HSQLDB Connection @5945d365
getVariableCount:1629038202948,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038202984,14,HSQLDB Connection @5945d365
getVariableCount:1629038203048,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203084,14,HSQLDB Connection @5945d365
getVariableCount:1629038203149,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203184,14,HSQLDB Connection @5945d365
getVariableCount:1629038203249,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203284,14,HSQLDB Connection @5945d365
getVariableCount:1629038203349,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203385,14,HSQLDB Connection @5945d365
getVariableCount:1629038203449,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203485,14,HSQLDB Connection @5945d365
getVariableCount:1629038203550,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203585,14,HSQLDB Connection @5945d365
getVariableCount:1629038203650,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203685,14,HSQLDB Connection @5945d365
getVariableCount:1629038203750,17,HSQLDB Connection @563bf2bb
